OrderID,OrderDate,CustomerName,CustomerSince,Age,Gender,Region,City,ProductID,ProductCategory,Price,Quantity,DiscountPercent,TotalSale,PaymentMethod,Channel,SalesRep,Rating,ReturnFlag,ShippingDays,Latitude,Longitude,Comments,OrderStatus,CouponCode,CouponApplied,LoyaltyScore,ChurnFlag,ShippingMethod
ORD100000,2023-04-06,Fatima Brown,2019-06-05,40,Non-binary,Anambra,Onitsha,P1791,Toys,79.41,2,0,158.82,Cash,Online,Rep_14,3.9,No,19,11.327843,4.600561,Excellent service,Returned,LOYAL20,TRUE,67,0,Pickup
ORD100001,2019-03-02,Ife Musa,2020-05-17,33,Male,Abuja,Gwarimpa,P1125,Household,86.24,7,10,543.31,Pay on Delivery,In-Store,Rep_5,2.7,No,9,12.141541,4.355729,Customer complained,Shipped,,TRUE,78,0,Express
ORD100002,2020-10-31,Michael Brown,2023-05-09,42,Non-binary,Anambra,Onitsha,P1835,Beauty,48.81,2,5,92.74,Bank Transfer,Phone Order,Rep_3,2.9,No,2,10.981865,4.073688,Late delivery,Returned,FREESHIP,FALSE,74,0,Pickup
ORD100003,2020-06-27,Ruth Adeyemi,2020-02-23,53,Female,Anambra,Awka,P1375,Clothing,59.77,2,10,107.59,Bank Transfer,Phone Order,Rep_9,3.1,No,9,9.553628,4.623571,Customer complained,Pending,,TRUE,79,0,Express
ORD100004,2023-11-28,Ada Okonkwo,2025-03-23,32,Female,Kaduna,Kaduna City,P1263,Sports,30.5,2,10,54.9,Card,Phone Order,Rep_18,3.2,No,20,9.439278,3.657055,Excellent service,Shipped,SUMMER10,TRUE,33,0,Express
ORD100005,2023-07-06,Kemi Ng,2020-01-02,32,Male,Lagos,Victoria Island,P1529,Groceries,60.78,2,25,91.17,Card,Online,Rep_20,2.9,No,4,-6.904468,3.087772,Excellent service,Pending,BLACKFRI,TRUE,62,0,Pickup
ORD100006,2024.12.11,Chinedu Eze,2020-05-20,53,Female,Rivers,Port Harcourt,P1751,Toys,63.79,3,25,143.53,Mobile Money,Online,Rep_7,4.7,No,19,9.793999,3.733321,Damaged packaging,Completed,SUMMER10,TRUE,57,0,Pickup
ORD100007,2019-07-31,Michael Eze,2020-06-25,44,Female,Kano,Kano City,P1647,Groceries,4688,200,0,468.8,Mobile Money,Online,Rep_15,4.3,No,3,12.758146,3.850854,Fast delivery,Returned,SUMMER10,FALSE,48,0,Pickup
ORD100008,2021-10-23,Ife Adeyemi,2025-02-26,29,Male,Oyo,Ibadan,P1300,Clothing,153.26,3,10,413.8,Cash,Phone Order,Rep_27,4.9,No,2,12.497174,4.352973,,Returned,FREESHIP,FALSE,48,1,Pickup
ORD100009,2019-03-14,Fatima Ogundele,2020-02-05,41,Non-binary,Abuja,Wuse,P1120,Toys,165.55,6,10,893.97,Card,Phone Order,Rep_18,5,No,1,12.801689,3.53854,,Completed,SUMMER10,TRUE,84,0,Pickup
ORD100010,2020-06-16,Ruth Eze,2020-05-27,29,Non-binary,Rivers,Eleme,P1293,Automotive,39.38,3,0,118.14,Pay on Delivery,Phone Order,Rep_1,4.3,No,3,12.938016,3.015297,Excellent service,Returned,FREESHIP,TRUE,39,0,Express
ORD100011,2022-05-15,Ada Smith,2022-04-16,29,Male,Lagos,Yaba,P1324,Household,90.47,1,10,81.42,Pay on Delivery,Online,Rep_26,3.4,No,19,-7.783692,3.703894,Damaged packaging,Pending,,TRUE,19,0,Express
ORD100012,2019-03-06,Fatima Brown,2019-04-18,37,Non-binary,Enugu,Nsukka,P1319,Clothing,140.75,1,15,119.64,Cash,Online,Rep_19,4.8,Yes,17,10.584696,3.227034,Late delivery,Cancelled,WELCOME5,FALSE,45,0,Pickup
ORD100013,2020-04-28,Ruth Olu,2020-11-28,16,Non-binary,Abuja,Maitama,P1571,Automotive,97.33,7,0,681.31,Pay on Delivery,In-Store,Rep_20,2.9,No,7,12.610692,3.281834,Wrong item,Cancelled,,FALSE,34,0,Standard
ORD100014,2023-05-01,Ada Ibrahim,2022-06-30,16,Male,Kaduna,Zaria,P1070,Automotive,124.97,4,5,474.89,Cash,In-Store,Rep_30,3.6,No,3,11.953498,4.100126,Wrong item,Returned,FREESHIP,FALSE,76,0,Express
ORD100015,2022-08-19,Michael Musa,2019-03-14,28,Female,Kaduna,Zaria,P1554,Toys,30.94,4,0,123.76,Bank Transfer,Phone Order,Rep_7,3.9,No,12,11.983034,3.826557,Late delivery,Cancelled,FREESHIP,FALSE,56,0,Express
ORD100016,2020-06-20,Michael Ali,2023-05-09,22,Non-binary,Rivers,Port Harcourt,P1556,Toys,94.56,2,20,151.3,Mobile Money,In-Store,Rep_25,4.3,No,3,11.79158,4.287395,Late delivery,Pending,,FALSE,74,0,Express
ORD100017,2022-12-05,Ruth Okoye,2023-03-12,38,Female,Oyo,Ibadan,P1978,Household,145.84,3,0,437.52,Card,Online,Rep_3,5,No,14,10.013897,3.19924,,Pending,WELCOME5,FALSE,45,0,Pickup
